"","Date","max","min","mean","sd"
"S2022-07-13",2022-07-13,0.915914796552842,0.219731050679941,0.658906453421954,0.186886318795401
"L2022-07-21",2022-07-21,0.915365162852778,0.224838251123768,0.664333514145143,0.181840076166963
"S2022-07-22",2022-07-22,0.782032400589102,0.236787920384351,0.551386231921221,0.12218925549975
"S2022-07-22.1",2022-07-22,0.752156141655001,0.277953056404276,0.55318377420622,0.112393600561779
"S2022-08-02",2022-08-02,0.919758812615955,0.128600823045267,0.672939314394492,0.197921702840572
"S2022-08-02.1",2022-08-02,0.906935639627564,0.232493985537466,0.671367226672627,0.182113443744589
"S2022-08-09",2022-08-09,0.895618237642269,0.227114048251416,0.667908557227009,0.181378131258728
"L2022-08-15",2022-08-15,0.895999868584735,0.19142568178895,0.673770720041651,0.179743888378889
"S2022-08-17",2022-08-17,0.874953940269845,0.241586124766368,0.656406895365251,0.169406256389899
"S2022-08-21",2022-08-21,0.878269139324774,0.199319535015594,0.665301434794908,0.170875032611421
